ts	host	crash_points_requested	cycles_arg	crash_points_reported	worlds	state_files	state_bytes	mode	checker	checker_cmd	rep	wall_s	per_world_s	maxrss	maxrss_unit	work_max_bytes	work_final_bytes	sample_interval_s	trace_bytes	report_bytes	case_bytes	verdict	oracle_verified	note
2026-09-20T10:42:54Z	Linux-aarch64			19	20	0	1024	wrappers	none		1	0.071	0.00357	11852	KiB		72291		33784	1149	0	PASS	True	target: timewarrior (spike/dogfood-timew.sh leg a, re-pathed); the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:42:54Z	Linux-aarch64			19	20	0	1024	wrappers	none		2	0.073	0.00364	11852	KiB		72193		33784	1149	0	PASS	True	target: timewarrior (spike/dogfood-timew.sh leg a, re-pathed); the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:42:54Z	Linux-aarch64			19	20	0	1024	wrappers	none		3	0.073	0.00366	11852	KiB		72193		33784	1149	0	PASS	True	target: timewarrior (spike/dogfood-timew.sh leg a, re-pathed); the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:42:54Z	Linux-aarch64			5	6	0	1024	wrappers	none		1	0.026	0.00431	11852	KiB		13816		2578	1476	538	FAIL	True	target: toy-bug (the planted delete-before-rename bug); the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:42:54Z	Linux-aarch64			5	6	0	1024	wrappers	none		2	0.023	0.00377	11840	KiB		13816		2578	1476	538	FAIL	True	target: toy-bug (the planted delete-before-rename bug); the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:42:54Z	Linux-aarch64			5	6	0	1024	wrappers	none		3	0.025	0.00412	11852	KiB		13888		2578	1476	538	FAIL	True	target: toy-bug (the planted delete-before-rename bug); the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
