b2-bs1770gain	B2	bs1770gain	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh bs1770gain	fb22d444f8d4b100d90b0f3c64192456111c7cd493387709861b2f9971b18264	b2-bs1770gain/report.json	2	bb6d28bfe2e3fc3566dae391f579e4a9066380e5d6226884c4995e589e17ac33
b2-txt2html	B2	txt2html	perl-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh txt2html	53645f8b91c8f2a29985f6930b71144eb48cba680b77a690511c909f8e3bd3db	b2-txt2html/report.json	0	816627d922a4e0d2da5f88b26c09cc6e2c8e4658e64a13663ea59df658363711
b2-httrack	B2	httrack	c-cli	-	-	wall:W2	a50addf83ec65cddbcc834b9d60b4c456bcae32fc5ad72a298173c5dc6f7f536	-	-	-
b2-otf2bdf	B2	otf2bdf	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh otf2bdf	be90999517893120a45609118d7a289dff6e619100cee95d364e9a50a04cdb10	b2-otf2bdf/report.json	0	4b751e5e810d610e95b229ad26358d1aef6ab781e3fbd7d7ca4f2b4d9873419f
b2-psutils	B2	psutils	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh psutils	fabb7b63a71507d609b3178a479ab9ec69f52aeb156d8e3a430f604a690de0a3	b2-psutils/report.json	0	6fb90f9ab7bce987ebc6392eda50a25e45eba32c00916b84ffdc6d431e360591
b2-zbar-tools	B2	zbar-tools	c-cli	-	-	wall:W3	b88590fc2c961367781d183933a517cb951727513f2be1bc042dd39b40b6726e	-	-	-
b2-debmirror	B2	debmirror	perl-cli	-	-	wall:W2	c8ef7866ca048bab7be34633f3f10e7ed2de9ee0dc00f7f968fc67d3a49d7b90	-	-	-
b2-unmass	B2	unmass	cxx-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh unmass	410c1698fdfddde434374fc84b6ba1f624fa240976c300ab4f7893dadff351b9	b2-unmass/report.json	2	c00a1ed082d61fdb69d5c89ab51e0d637c310a03ccd025240a95c0a52a79ac83
b2-tcpslice	B2	tcpslice	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh tcpslice	0a4ab4d4f82cc725ed4e109e9c662c5233f0daebb38df2d8d052ba2aa0b86a10	b2-tcpslice/report.json	0	cd7a78c8bcdd7a6c12de554d9c6869c831342bee4e4e74641fc7b70260d886fc
b2-debian-cd	B2	debian-cd	perl-cli	-	-	wall:W3	6ccfcc0571dd13f25407dffa8e32fbc24db7371609382346b8bfdc5908963977	-	-	-
b2-enscribe	B2	enscribe	c-cli	l0	sha256:43134c0cf0bf61a60da004ada437dca7203dd2d1cf0284f13a68e78d31e21135	bgroup.sh enscribe	9a5f3ead9d0f7e5dbdfce9145f078443431db659a106546bfce0878f5bb11972	b2-enscribe/report.json	0	53b72dbe7fb60698fd4c1a02e9c49f8fa8153d18d454e4937f5fa2452df034f3
